tag,delta,mwu
TSS_642,-0.09711777777777778,-2.159487632017642
TSS_467,-0.3481166666666667,-2.145973615934137
TSS_190,-0.16587666666666667,-2.1338637806026814
TSS_979,-0.17555888888888893,-2.1206098503403634
TSS_253,-0.15358555555555556,-2.097009313266197
TSS_188.7,-0.14221333333333336,-2.044631491466075
TSS_443,-0.47309555555555555,-2.033218178001903
TSS_162,0.14142111111111114,-2.0238859809739953
TSS_964,-0.13527999999999996,-1.9984760602520808
TSS_450,-0.3303666666666667,-1.9884232151977577
TSS_139,-0.23795999999999998,-1.9865102721177255
TSS_802,-0.2341722222222222,-1.9865030475036736
TSS_325,-0.20162777777777774,-1.9596238504721266
TSS_326,-0.12189444444444446,-1.9410400392311615
TSS_344,-0.19238666666666668,-1.9370342038823236
TSS_871,-0.3205788888888889,-1.9365602637268458
TSS_208.3,-0.21818666666666664,-1.8879516712335795
TSS_656,-0.1411111111111111,-1.8832591764961981
TSS_830,-0.1275611111111111,-1.8785226377369664
TSS_816,-0.31192333333333333,-1.8748279956955838
TSS_860,-0.17621666666666666,-1.8701838583165404
TSS_868,-0.05975666666666665,-1.8665287472119738
TSS_1058.1,-0.13102222222222223,-1.8364158149732026
TSS_172,-0.3459622222222222,-1.824374918540104
TSS_1100,-0.21325333333333332,-1.8112401806021867
TSS_856,-0.2528522222222222,-1.7872980019146638
TSS_354.1,-0.09771222222222223,-1.7760127414261748
TSS_495,-0.11550444444444441,-1.7705315373938268
TSS_889,-0.5099422222222222,-1.7326229910365158
TSS_978,0.4037188888888889,-1.7218755459437465
TSS_492.1,-0.18936333333333333,-1.6982299118303619
TSS_648,-0.1939433333333333,-1.6926014172855226
TSS_1001.1,-0.11235222222222224,-1.6693196266784283
TSS_10,-0.15563000000000002,-1.661347269326215
TSS_832.2,-0.2913988888888889,-1.6613378098062548
TSS_577,-0.08967555555555556,-1.6471270803692366
TSS_1086,-0.23865555555555554,-1.6416946933158894
TSS_255,-0.45828222222222226,-1.6406658436596453
TSS_996,-0.09013111111111109,-1.6374091927707475
TSS_780,-0.2871955555555556,-1.6365117470764756
TSS_7,-0.24869,-1.6316520377523407
TSS_756,-0.07150333333333332,-1.6244399375290943
TSS_261,-0.12205444444444441,-1.6241343010130487
